Pipeline,DW,DK,PH,PK,NH,NK
DW,1.0,0.7632398753894081,0.6010730356524749,0.6483212184146764,0.6711664935964001,0.7061266874350987
DK,0.7632398753894081,1.0,0.5989961924541364,0.722049151955694,0.6860505365178262,0.7009345794392523
PH,0.6010730356524749,0.5989961924541364,1.0,0.642263759086189,0.679300796123226,0.6630321910695742
PK,0.6483212184146764,0.722049151955694,0.642263759086189,1.0,0.6739356178608515,0.6767047421253028
NH,0.6711664935964001,0.6860505365178262,0.679300796123226,0.6739356178608515,1.0,0.8435444790584977
NK,0.7061266874350987,0.7009345794392523,0.6630321910695742,0.6767047421253028,0.8435444790584977,1.0
