Pipeline,DW,DK,PH,PK,NH,NK
DW,1.0,0.48032742846525894,0.1442277109200155,0.25221576272566043,0.2682309361900736,0.3460295419214447
DK,0.48032742846525894,1.0,0.13845118437955747,0.408195759658091,0.2996860601653205,0.3328872723074277
PH,0.1442277109200155,0.13845118437955747,1.0,0.24984652259198753,0.3037354533482905,0.2684149636638541
PK,0.25221576272566043,0.408195759658091,0.24984652259198753,1.0,0.29940891831704486,0.3053587364205094
NH,0.2682309361900736,0.2996860601653205,0.3037354533482905,0.29940891831704486,1.0,0.645264217209478
NK,0.3460295419214447,0.3328872723074277,0.2684149636638541,0.3053587364205094,0.645264217209478,1.0
