Tier,N_Cells,K_Groups,Features_Tested,Raw_P_LT_0_05_Features,BH_Q_LT_0_05_Features,BY_Q_LT_0_05_Features,Posthoc_Contrasts,Holm_Significant_Contrasts,BH_Features_With_Any_Holm_Contrast,Maximum_Rank_Eta_Squared,Median_Rank_Eta_Squared
Strong core,54,4,45,33,32,25,192,89,32,0.8340041067417756,0.27539647637945636
Broader tier,81,8,45,34,33,28,924,157,31,0.9161535555633634,0.28719603880486544
