Pipeline,DW,DK,PH,PK,NH,NK
DW,1.0,0.7274904500196255,0.3200588314886567,0.6715640166173024,0.44858109259657025,0.523533565484495
DK,0.7274904500196255,1.0,0.24729984182289094,0.5423279795749544,0.44836827156276743,0.422421315994413
PH,0.3200588314886567,0.24729984182289094,1.0,0.22765112034430465,0.40412472267226573,0.44847712304740406
PK,0.6715640166173024,0.5423279795749544,0.22765112034430465,1.0,0.5129187640969678,0.558222646606527
NH,0.44858109259657025,0.44836827156276743,0.40412472267226573,0.5129187640969678,1.0,0.726354343725213
NK,0.523533565484495,0.422421315994413,0.44847712304740406,0.558222646606527,0.726354343725213,1.0
