nan,0.591864,0.544448,0.651136,0.581705,0.595251,0.581705,0.574930,0.547833,0.596946,0.571543,0.593559,0.588477,0.583399,0.595251,0.581705,0.603718,0.613882,0.585090,0.591866,0.596946,0.576623,0.593559,0.590171,0.586784,0.529204,0.593559,0.644364,0.571543,0.581705,0.595251,0.542753,0.588479,0.615574,0.559687,0.615574,0.608800,0.578317,0.588479,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.603343,0.650595,0.527207,0.642916,0.635946,0.589435,0.587321,0.579301,0.569919,0.554218,0.645544,0.580027,0.604000,0.570302,0.588470,0.595748,0.606371,0.542549,0.601260,0.619913,0.579110,0.605755,0.577087,0.585055,0.584936,0.584893,0.576761,0.604311,0.693475,0.603720,0.576623,0.576625,0.574928,0.613882,0.585092,0.603718,0.557994,0.537673,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.674849,0.547833,0.547833,0.563076,0.602025,0.596946,0.568156,0.600333,0.607105,0.581705,0.556302,0.625736,0.588477,0.591866,0.566461,0.629123,0.586784,0.574930,0.556300,0.600333,0.559689,0.573236,0.615574,0.593559,0.607107,0.581702,0.605415,0.581702,0.586784,0.586784,0.571543,0.588479,0.639282,0.568156,0.588479,0.574930,0.583397,0.617267,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.603070,0.656210,0.521593,0.648779,0.638958,0.589616,0.587200,0.579463,0.568605,0.552791,0.648329,0.578805,0.604700,0.569385,0.588776,0.595852,0.606546,0.541127,0.601834,0.621164,0.578809,0.606236,0.576690,0.584608,0.584844,0.584974,0.576029,0.634100,0.571543,0.605413,0.557994,0.654526,0.622348,0.527510,0.566463,0.497030,0.762909,0.557994,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.666380,0.497030,0.629121,0.576625,0.564769,0.591864,0.598640,0.585090,0.617269,0.544446,0.634203,0.561382,0.607107,0.568156,0.595251,0.583397,0.591866,0.580010,0.566463,0.596944,0.595253,0.574930,0.615574,0.598638,0.595251,0.578317,0.596946,0.576623,0.605413,0.578317,0.618961,0.554607,0.598640,0.598638,0.602025,0.585092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.602798,0.661824,0.515979,0.654643,0.641970,0.589798,0.587079,0.579626,0.567291,0.551363,0.651115,0.577583,0.605399,0.568468,0.589082,0.595956,0.606721,0.539704,0.602407,0.622416,0.578509,0.606717,0.576293,0.584161,0.584753,0.585055,0.575296,0.770580,0.590171,0.542753,0.603720,0.583397,0.625734,0.625736,0.478401,0.671459,0.525817,0.607107,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.602526,0.667438,0.510365,0.660506,0.644983,0.589979,0.586957,0.579789,0.565978,0.549935,0.653900,0.576360,0.606099,0.567551,0.589388,0.596061,0.606895,0.538281,0.602980,0.623668,0.578208,0.607198,0.575895,0.583714,0.584662,0.585136,0.574564,0.659807,0.668072,0.542755,0.625734,0.530899,0.607107,0.618961,0.596944,0.568156,0.630815,0.573238,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.602253,0.673052,0.504750,0.666369,0.647995,0.590160,0.586836,0.579951,0.564664,0.548508,0.656685,0.575138,0.606799,0.566634,0.589694,0.596165,0.607070,0.536859,0.603553,0.624920,0.577907,0.607678,0.575498,0.583267,0.584571,0.585216,0.573832,0.559195,0.669767,0.602025,0.603720,0.561382,0.603720,0.585092,0.612187,0.554607,0.591864,0.539366,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.674849,0.547833,0.547833,0.563076,0.620654,0.596946,0.566463,0.583397,0.624041,0.578317,0.542753,0.640977,0.573236,0.591866,0.566461,0.629123,0.586784,0.574930,0.556300,0.600333,0.559689,0.573236,0.615574,0.593559,0.607107,0.581702,0.605415,0.581702,0.586784,0.598640,0.559687,0.600333,0.651138,0.554607,0.593559,0.559689,0.583397,0.617267,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.601981,0.678666,0.499136,0.672233,0.651007,0.590342,0.586715,0.580114,0.563351,0.547080,0.659471,0.573916,0.607499,0.565717,0.590000,0.596269,0.607245,0.535436,0.604126,0.626171,0.577606,0.608159,0.575101,0.582821,0.584479,0.585297,0.573100,0.656726,0.598638,0.568156,0.632510,0.564769,0.612187,0.612187,0.546140,0.541058,0.627428,0.569851,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.573236,0.640977,0.625736,0.530899,0.615574,0.610492,0.605413,0.569851,0.595251,0.576625,0.585090,0.556302,0.581705,0.598638,0.576623,0.622348,0.596946,0.583397,0.578317,0.588477,0.617269,0.563074,0.598640,0.608800,0.554607,0.576623,0.625736,0.564769,0.588479,0.581702,0.608800,0.571543,0.608800,0.593559,0.564769,0.588479,0.596946,0.598638,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.664685,0.525819,0.690088,0.449611,0.686700,0.502109,0.552915,0.583397,0.593559,0.549527,0.673152,0.662992,0.520738,0.612187,0.574930,0.603720,0.596946,0.502109,0.690088,0.652831,0.473319,0.756134,0.434370,0.591864,0.683315,0.519043,0.497030,0.605413,0.634203,0.559689,0.637590,0.563074,0.574930,0.541061,0.591864,0.583397,0.617269,0.605413,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.530899,0.622348,0.576623,0.630815,0.576623,0.561382,0.608802,0.580010,0.605413,0.559689,0.585090,0.569851,0.598638,0.615574,0.598638,0.568156,0.617269,0.535979,0.624041,0.591866,0.605413,0.588477,0.568156,0.585092,0.595251,0.563076,0.622348,0.574928,0.593559,0.583399,0.593556,0.561384,0.618959,0.576625,0.588477,0.590171,0.578317,0.612187,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.554607,0.657915,0.557992,0.610503,0.571532,0.600327,0.563091,0.602019,0.557992,0.607118,0.578302,0.615581,0.542760,0.605404,0.588479,0.573246,0.600327,0.586786,0.580016,0.615559,0.557992,0.600348,0.588479,0.602019,0.554607,0.625736,0.559685,0.603712,0.559706,0.622329,0.585094,0.602040,0.586786,0.605404,0.580016,0.608789,0.568169,0.529198,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.600333,0.537673,0.610492,0.647751,0.556302,0.580010,0.593559,0.510576,0.634203,0.547835,0.613879,0.612187,0.596946,0.595251,0.547835,0.605413,0.574930,0.608800,0.610492,0.580012,0.598638,0.571543,0.578317,0.593559,0.563074,0.607107,0.580010,0.580010,0.583397,0.607107,0.586784,0.591866,0.576623,0.602025,0.593559,0.568156,0.613879,0.564771,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.603718,0.563076,0.574930,0.590171,0.617267,0.612187,0.566463,0.588477,0.610494,0.542753,0.644364,0.551220,0.617267,0.580012,0.580010,0.620654,0.596946,0.574930,0.578317,0.574930,0.588477,0.603720,0.607105,0.608800,0.590171,0.578317,0.591866,0.590171,0.593559,0.618959,0.596946,0.564769,0.605415,0.578315,0.590171,0.602028,0.596944,0.588479,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.598638,0.590171,0.561382,0.605413,0.649444,0.593559,0.525819,0.632508,0.568156,0.602028,0.585090,0.624041,0.590171,0.603720,0.569851,0.581702,0.615574,0.541061,0.586784,0.630815,0.559689,0.602025,0.605413,0.552915,0.602025,0.574930,0.593559,0.571543,0.603720,0.607105,0.620654,0.532594,0.603718,0.629123,0.574930,0.598638,0.590171,0.603720,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,0.612187,0.612187,0.539366,0.576623,0.637590,0.580010,0.602028,0.552915,0.625734,0.603720,0.593559,0.588477,0.568156,0.588479,0.585092,0.634203,0.539366,0.571543,0.605413,0.610492,0.574930,0.603720,0.591864,0.568156,0.590171,0.590171,0.586784,0.608800,0.557996,0.586784,0.608800,0.569848,0.622348,0.593559,0.583397,0.591866,0.578315,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.573236,0.640977,0.625736,0.530899,0.615574,0.610492,0.605413,0.569851,0.595251,0.576625,0.585090,0.556302,0.581705,0.598638,0.576623,0.622348,0.596946,0.583397,0.578317,0.588477,0.617269,0.563074,0.598640,0.608800,0.554607,0.576623,0.625736,0.564769,0.588479,0.581702,0.608800,0.571543,0.608800,0.593559,0.564769,0.588479,0.596946,0.598638,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.603888,0.639367,0.538436,0.631189,0.629922,0.589072,0.587563,0.578976,0.572546,0.557074,0.639973,0.582472,0.602601,0.572136,0.587858,0.595540,0.606022,0.545394,0.600114,0.617409,0.579712,0.604794,0.577882,0.585948,0.585118,0.584731,0.578225,0.495622,0.580010,0.556302,0.605413,0.586784,0.603720,0.593559,0.596946,0.590171,0.608800,0.607107,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.598638,0.419127,0.745975,0.576623,0.429288,0.551222,0.688393,0.532594,0.615574,0.727344,0.368321,0.710411,0.549527,0.727347,0.534284,0.551222,0.691780,0.495337,0.564769,0.458078,0.634203,0.590171,0.637590,0.596944,0.637590,0.449611,0.593559,0.664685,0.583397,0.541061,0.524125,0.622348,0.618961,0.569848,0.556302,0.552915,0.578315,0.580012,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.603615,0.644981,0.532821,0.637052,0.632934,0.589254,0.587442,0.579138,0.571232,0.555646,0.642759,0.581249,0.603300,0.571219,0.588164,0.595644,0.606196,0.543972,0.600687,0.618661,0.579411,0.605274,0.577484,0.585502,0.585027,0.584812,0.577493,0.623635,0.618961,0.662990,0.497030,0.581705,0.625734,0.598640,0.627428,0.517350,0.639282,0.654526,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.647751,0.532592,0.527512,0.637590,0.622346,0.568156,0.776457,0.476706,0.566463,0.642669,0.500417,0.600331,0.490255,0.617269,0.673152,0.544448,0.617267,0.557994,0.659605,0.497030,0.566461,0.652833,0.690088,0.464852,0.617267,0.556302,0.661298,0.615574,0.539366,0.574930,0.613882,0.568156,0.517350,0.635895,0.580010,0.624043,0.622346,0.563076,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.613882,0.571543,0.803553,0.420821,0.762909,0.552915,0.507189,0.591866,0.698555,0.512271,0.651138,0.486866,0.764603,0.361549,0.700249,0.561382,0.610492,0.598640,0.671459,0.503802,0.598640,0.598638,0.603720,0.571543,0.635895,0.503802,0.574930,0.593559,0.593559,0.546140,0.646057,0.673154,0.497030,0.581702,0.596946,0.590171,0.580010,0.498722,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.539366,0.596946,0.539366,0.798473,0.349693,0.822181,0.525819,0.537671,0.647751,0.640977,0.497030,0.593559,0.568156,0.539366,0.624041,0.712103,0.530899,0.503802,0.664687,0.583397,0.586784,0.478401,0.657911,0.662992,0.495335,0.541061,0.618959,0.591866,0.468240,0.622346,0.569851,0.603720,0.542753,0.634203,0.686700,0.187117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,0.601709,0.684281,0.493522,0.678096,0.654019,0.590523,0.586594,0.580277,0.562037,0.545652,0.662256,0.572694,0.608198,0.564800,0.590306,0.596373,0.607419,0.534014,0.604700,0.627423,0.577305,0.608640,0.574703,0.582374,0.584388,0.585378,0.572368,0.605225,0.647751,0.481786,0.578317,0.629123,0.574930,0.603718,0.593559,0.639284,0.578315,0.546140,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.515658,0.596944,0.573238,0.542753,0.651138,0.652831,0.551220,0.544446,0.654526,0.502109,0.754442,0.539366,0.502109,0.610494,0.634203,0.559687,0.581705,0.566461,0.625736,0.580010,0.581705,0.595251,0.595253,0.640977,0.615574,0.583397,0.512271,0.671459,0.500415,0.634203,0.690088,0.461465,0.608800,0.569851,0.612187,0.529204,0.610494,0.576623,0.580010,0.552915,0.632510,nan,nan,nan,nan,nan,nan,nan
0.691782,0.461465,0.657911,0.602025,0.581705,0.534286,0.605413,0.613879,0.520738,0.652831,0.500417,0.586784,0.627428,0.541061,0.576623,0.690088,0.586784,0.571543,0.585092,0.574930,0.568156,0.591864,0.603720,0.637590,0.539366,0.639282,0.542755,0.581702,0.629123,0.576623,0.685008,0.544448,0.595251,0.564769,0.629123,0.581702,0.566463,0.649444,0.466545,0.596946,0.642669,nan,nan,nan,nan,nan,nan,nan
0.651028,0.534386,0.632433,0.558053,0.556362,0.754146,0.432958,0.725408,0.329840,0.725408,0.684837,0.502267,0.453244,0.754146,0.497196,0.585100,0.654409,0.661171,0.399149,0.625671,0.574957,0.515791,0.559743,0.674695,0.654409,0.541148,0.593552,0.645957,0.544529,0.591862,0.630743,0.571576,0.566505,0.588481,0.571576,0.591862,0.615528,0.532696,0.657790,0.566505,0.552981,nan,nan,nan,nan,nan,nan,nan
0.414047,0.662992,0.585092,0.591864,0.713798,0.573236,0.569851,0.519043,0.602025,0.356469,0.766296,0.725652,0.495335,0.539366,0.676541,0.459771,0.759521,0.468240,0.542753,0.613879,0.673154,0.596946,0.451304,0.734119,0.571543,0.529207,0.647749,0.613882,0.481786,0.629123,0.605413,0.576623,0.574930,0.588479,0.610492,0.627428,0.620656,0.539366,0.552915,0.549527,0.563074,nan,nan,nan,nan,nan,nan,nan
0.578315,0.625736,0.640977,0.595251,0.508884,0.542753,0.588479,0.647749,0.563076,0.525817,0.632510,0.557994,0.656218,0.564769,0.598640,0.656218,0.524125,0.602025,0.519043,0.617269,0.600333,0.693475,0.530899,0.556300,0.583399,0.632508,0.574930,0.564769,0.691782,0.512269,0.600333,0.605413,0.612187,0.578317,0.622348,0.586784,0.561382,0.588479,0.586784,0.600333,0.580010,nan,nan,nan,nan,nan,nan,nan
0.642669,0.664685,0.537673,0.617269,0.527510,0.578317,0.595253,0.574928,0.522432,0.581705,0.669765,0.607107,0.503802,0.541061,0.629123,0.549527,0.603718,0.715490,0.510578,0.630815,0.519043,0.629123,0.605413,0.559689,0.613879,0.627430,0.576623,0.569848,0.546140,0.564769,0.583397,0.625736,0.668072,0.541061,0.673154,0.535979,0.634203,0.525817,0.595253,0.602025,0.573236,nan,nan,nan,nan,nan,nan,nan
0.668072,0.695169,0.617269,0.419127,0.691782,0.527510,0.576625,0.607105,0.625736,0.615574,0.493642,0.644364,0.598638,0.507189,0.646057,0.546140,0.629123,0.664685,0.497030,0.539366,0.666380,0.595251,0.483481,0.649444,0.627428,0.578317,0.561382,0.635897,0.583397,0.642669,0.612187,0.488563,0.739198,0.527512,0.525819,0.657911,0.532592,0.595253,0.590171,0.537671,0.600333,nan,nan,nan,nan,nan,nan,nan
0.654523,0.591866,0.612187,0.580010,0.486868,0.627428,0.602025,0.485175,0.701942,0.491948,0.610494,0.861132,0.393724,0.602028,0.532592,0.585090,0.593559,0.529207,0.580010,0.617267,0.581705,0.629123,0.568156,0.622346,0.510578,0.613879,0.686703,0.524123,0.618961,0.618961,0.502109,0.713798,0.542753,0.603720,0.546140,0.679926,0.542753,0.679928,0.473319,0.591864,0.634203,nan,nan,nan,nan,nan,nan,nan
0.598638,0.624041,0.551222,0.557994,0.607107,0.608800,0.500415,0.593559,0.585092,0.607105,0.662992,0.532592,0.546140,0.632510,0.646057,0.580010,0.537673,0.580010,0.644364,0.607107,0.557994,0.618961,0.574930,0.581702,0.710411,0.476706,0.661300,0.554607,0.547833,0.602028,0.646057,0.613879,0.578317,0.612187,0.544448,0.580010,0.569848,0.627428,0.549527,0.339534,0.590171,nan,nan,nan,nan,nan,nan,nan
0.463387,0.789646,0.431268,0.676385,0.485363,0.505648,0.586790,0.669623,0.558053,0.552981,0.762599,0.448173,0.671314,0.492125,0.629052,0.554672,0.732170,0.612147,0.471839,0.625671,0.574957,0.490434,0.617219,0.607076,0.563124,0.642576,0.454934,0.669623,0.590171,0.583410,0.617219,0.590171,0.542838,0.492125,0.602005,0.612147,0.588481,0.546219,0.576648,0.563124,0.586790,nan,nan,nan,nan,nan,nan,nan
0.596946,0.529204,0.627428,0.793393,0.410660,0.671459,0.537671,0.618961,0.471627,0.588477,0.652833,0.639282,0.532592,0.442837,0.835730,0.642669,0.444532,0.652831,0.634203,0.447917,0.744280,0.664685,0.569851,0.451304,0.713798,0.422514,0.610492,0.551222,0.571543,0.596946,0.613879,0.546140,0.498722,0.683313,0.537673,0.610494,0.544446,0.652831,0.549527,0.600333,0.632510,nan,nan,nan,nan,nan,nan,nan
0.685008,0.412352,0.635897,0.549527,0.634203,0.644362,0.563076,0.566463,0.527510,0.647751,0.554607,0.642672,0.761214,0.292115,0.830650,0.480094,0.549527,0.705329,0.769683,0.454691,0.546140,0.596946,0.557994,0.585092,0.618961,0.517350,0.639282,0.542753,0.603720,0.513963,0.605413,0.679928,0.542753,0.580010,0.591864,0.637590,0.564769,0.605415,0.495335,0.520738,0.786617,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,0.559743,0.678075,0.539458,0.629052,0.547910,0.623981,0.607076,0.630743,0.485363,0.552981,0.671314,0.546219,0.676385,0.495506,0.574957,0.598624,0.588481,0.581719,0.598624,0.651028,0.585100,0.571576,0.635814,0.600314,0.580029,0.576648,0.578338,0.684837,0.541148,0.537767,0.640885,0.556362,0.674695,0.519172,0.622290,0.591862,0.558053,0.561434,nan,nan,nan,nan,nan,nan,nan
0.681621,0.495335,0.639284,0.585090,0.397113,1.000000,0.393724,0.488561,0.486868,0.664685,0.532594,0.591864,0.556302,0.629123,0.603718,0.627428,0.532594,0.544446,0.685008,0.515658,0.557994,0.566463,0.566461,0.617267,0.602028,0.576623,0.722265,0.583397,0.586784,0.632510,0.442837,0.598638,0.620654,0.596946,0.583397,0.646057,0.568156,0.620656,0.549527,0.649444,0.537673,nan,nan,nan,nan,nan,nan,nan
0.464852,0.478401,0.837422,0.669767,0.378483,0.618961,0.464852,0.649444,0.679926,0.471627,0.583397,0.639284,0.756134,0.361549,0.588477,0.593559,0.647751,0.569848,0.583397,0.556302,0.512271,0.652831,0.481786,0.581705,0.723959,0.497027,0.613882,0.568156,0.564769,0.646057,0.544446,0.622348,0.563076,0.578317,0.561382,0.662992,0.593559,0.590171,0.551220,0.527512,0.624041,nan,nan,nan,nan,nan,nan,nan
0.460006,0.612147,0.637504,0.602005,0.613838,0.598624,0.551291,0.623981,0.563124,0.617219,0.503958,0.679766,0.529315,0.525934,0.595243,0.546219,0.613838,0.652719,0.480291,0.623981,0.634123,0.593552,0.536077,0.671314,0.537767,0.574957,0.735551,0.515791,0.598624,0.595243,0.573267,0.644266,0.500577,0.571576,0.603695,0.576648,0.598624,0.613838,0.549600,0.595243,0.544529,nan,nan,nan,nan,nan,nan,nan
nan,nan,0.573267,0.603695,0.603695,0.527624,0.612147,0.612147,0.552981,0.580029,0.605386,0.607076,0.605386,0.586790,0.639195,0.556362,0.559743,0.620600,0.509029,0.583410,0.623981,0.659480,0.593552,0.512410,0.644266,0.634123,0.551291,0.596933,0.612147,0.571576,0.603695,0.564814,0.547910,0.600314,0.649338,0.503958,0.625671,0.578338,0.603695,0.591862,0.569886,nan,nan,nan,nan,nan,nan,nan
0.637240,0.507802,0.593533,0.637240,0.573361,0.596895,0.539741,0.692713,0.543103,0.546465,0.573361,0.655731,0.480906,0.680946,0.527974,0.643964,0.615386,0.543103,0.576723,0.601938,0.677584,0.554870,0.635559,0.615386,0.511164,0.617067,0.591852,0.630516,0.640602,0.580085,0.571680,0.580085,0.627154,0.575042,0.558232,0.569999,0.595214,0.553189,0.556551,0.595214,0.554870,nan,nan,nan,nan,nan,nan,nan
