Cell_Name,K2_DW,K2_DK,K2_PK,K2_NH,K2_NK,K2_Strict_Signature,K2_Unanimous_Group
Mov. 2 - Cell 13,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - Cell 14,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - Cell 16,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 2 - Cell 2,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 2 - Cell 22,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 2 - Cell 23,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 2 - Cell 3,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - Cell 34,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 2 - Cell 36,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 2 - Cell 4,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - Cell 5,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - Cell C1,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - Cell C2,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - P,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - R,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - S,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - T,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - U,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - V,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - W,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - X,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - Y,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 2 - Z,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 1,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 10,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 11,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 12,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 13,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 2,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 22,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 24,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 25,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 26,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 27,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 28,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 29,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 3,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 30,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 31,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 34,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 36,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 37,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 39,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 40,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 41,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 42,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 44,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 45,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 46,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 48,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 49,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 51,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 53,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 55,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 56,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 57,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 6,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
Mov. 3 - Cell 8,1,1,2,1,1,K2-DW1-DK1-PK2-NH1-NK1,K2_U1
Mov. 3 - Cell 9,2,2,1,2,2,K2-DW2-DK2-PK1-NH2-NK2,K2_U2
