Pipeline,DW,DK,PH,PK,NH,NK
DW,1.0,0.786549875629038,0.40945621084327927,0.7216320513376404,0.568700002067098,0.656219264310537
DK,0.786549875629038,1.0,0.285854979204269,0.6599767394603382,0.570795679320436,0.5417230785253072
PH,0.40945621084327927,0.285854979204269,1.0,0.25016106200120086,0.39856802702621846,0.4691544434857636
PK,0.7216320513376404,0.6599767394603382,0.25016106200120086,1.0,0.6296400823966393,0.6593640769760521
NH,0.568700002067098,0.570795679320436,0.39856802702621846,0.6296400823966393,1.0,0.8204727231262929
NK,0.656219264310537,0.5417230785253072,0.4691544434857636,0.6593640769760521,0.8204727231262929,1.0
